isbn	title	publisher
043965078X	A My Senator and Me: A Dog&#39;s Eye View of Washington, D.C.: Edward Kennedy, David Small: 9780439650786: Amazon.com: Books	 Scholastic Paperbacks; Reprint edition (October 1, 2010)
030010328X	Politics and Passion: Toward a More Egalitarian Liberalism: Michael Walzer: 9780300103281: Amazon.com: Books	 Yale University Press (February 11, 2005)
1593762143	Open Letters to America: Essays by Kevin Powell: Kevin Powell: Amazon.com: Books	 Soft Skull Press (October 20, 2009)
1572305622	Right-Wing Populism in America: Too Close for Comfort: Chip Berlet, Matthew N. Lyons: 9781572305625: Amazon.com: Books	 The Guilford Press; 1 edition (November 1, 2000)
042522757X	The Good Fight: Hard Lessons from Searchlight to Washington: Harry Reid, Mark Warren: 9780425227572: Amazon.com: Books	 Berkley Trade; Reprint edition (May 5, 2009)
0060008733	Democracy in America: Abridged Edition (P.S.): Alexis de Tocqueville, Scott A. Sandage: 9780060008734: Amazon.com: Books	 Harper Perennial Modern Classics; Abridged edition (June 12, 2007)
081664179X	The Conscience of a Liberal: Reclaiming the Compassionate Agenda: Senator Paul Wellstone: 9780816641796: Amazon.com: Books	 Univ Of Minnesota Press; 1 edition (September 3, 2002)
0060844256	Original Zinn: Conversations on History and Politics: Howard Zinn: 9780060844257: Amazon.com: Books	 Harper Perennial; First Edition edition (June 27, 2006)
0743222253	Living History: Hillary Rodham Clinton: Amazon.com: Books	None
141653492X	Feingold: A New Democratic Party: Sanford D. Horwitt: 9781416534921: Amazon.com: Books	 Simon & Schuster; First Edition edition (July 24, 2007)
0061991716	The Backlash: Right-Wing Radicals, High-Def Hucksters, and Paranoid Politics in the Age of Obama: Will Bunch: Amazon.com: Books	 Harper (August 31, 2010)
0061243507	Brainless: The Lies and Lunacy of Ann Coulter: Joe Maguire: Amazon.com: Books	 William Morrow (October 10, 2006)
0452285674	The Best Democracy Money Can Buy: Greg Palast: 9780452285675: Amazon.com: Books	 Plume; Revised edition (April 27, 2004)
0670037745	Conservatives Without Conscience: John W. Dean: Amazon.com: Books	 Viking Adult; First Edition edition (July 11, 2006)
0700606211	Times, Politics, and Policies: A Legislative Year: Burdett A. Loomis: 9780700606214: Amazon.com: Books	 Univ Pr of Kansas (January 1994)
0783802021	You Got to Dance With Them What Brung You (G K Hall Large Print Book Series): Molly Ivins: 9780783802022: Amazon.com: Books	 G K Hall & Co (July 1998)
1594868166	Come Home, America: The Rise and Fall (and Redeeming Promise) of Our Country: William Greider: Amazon.com: Books	 Rodale Books; First Edition edition (March 17, 2009)
0307969851	As Texas Goes...: How the Lone Star State Hijacked the American Agenda: Gail Collins: 9780307969859: Amazon.com: Books	 Random House Audio; Unabridged edition (June 5, 2012)
0914758012	State of Black America 2008: The Black Woman&#39;s Voice (State of Black America): National Urban League, Stephanie J. Jones, Dr. Julianne Malveaux, Dr. Dorothy I. Height: 9780914758013: Amazon.com: Books	 National Urban League (March 5, 2008)
0253204259	Women as Candidates in American Politics: Susan J. Carroll: 9780253204257: Amazon.com: Books	 Indiana University Press (December 1985)
0875867987	Amazon.com: The Turkey and the Eagle: The Struggle for America&#39;s Global Role (9780875867984): Caleb Stewart Rossiter: Books	 Algora Publishing (August 16, 2010)
1579651658	Amazon.com: The Journey from Here (9781579651657): Bill Bradley: Books	 Artisan; First Edition edition (September 26, 2000)
0757315240	Going Rouge: An American Nightmare: Richard Kim, Besty Reed: Amazon.com: Books	 Health Communications; 1 edition (December 1, 2009)
